employee_id,first_name,last_name,department,sub_department,first_level_manager,second_level_manager,third_level_manager,fourth_level_manager,job_level,salary,hire_date,term_date,term_type,term_reason,active_status
12104572130,Kip,O'Finan,Executive,NULL,NULL,NULL,NULL,NULL,CEO,2468287,"2017-06-28 00:00:00",NULL,NULL,NULL,1
3381966,Kate,Maceur,Legal,"Intellectual Property",3278383811,1490361837,2591261030,12104572130,"Individual Contributor",112274,"2017-12-18 00:00:00",NULL,NULL,NULL,1
12868764,Bard,Kenneford,Software,"Software Development",7216768130,6279119392,6268712051,12104572130,"Individual Contributor",101769,"2012-03-28 00:00:00",NULL,NULL,NULL,1
17445638,Saw,Sogg,Marketing,"Public Relations",6725256317,2884263685,1949400041,12104572130,"Individual Contributor",82641,"2017-06-29 00:00:00","2019-04-03 00:00:00",Voluntary,"Found a better opportunity",0
19611331,Cullen,Stiell,HR,Benefits,6064345413,8377149542,12104572130,NULL,"Team Lead",69487,"2021-04-12 00:00:00",NULL,NULL,NULL,1
21007178,Tallie,Sabater,Software,"Technical Support",12104572130,NULL,NULL,NULL,Director,135885,"2014-07-14 00:00:00",NULL,NULL,NULL,1
22427913,Inglebert,Yesipov,Finance,Auditing,5683220301,6043081030,5400546882,12104572130,"Individual Contributor",74509,"2014-06-21 00:00:00","2015-04-16 00:00:00",Voluntary,"Personal reasons",0
23580165,Ki,Slayton,HR,Training,9152334412,8421163041,12104572130,NULL,"Team Lead",74993,"2014-05-04 00:00:00",NULL,NULL,NULL,1
26499513,Georgette,Wickersley,Marketing,"Marketing Research",6977809316,8464356447,9743222543,12104572130,"Individual Contributor",69510,"2018-04-13 00:00:00",NULL,NULL,NULL,1
29171485,Rollie,Eynon,Operations,Logistics,4729374587,5502602745,8488156355,12104572130,"Individual Contributor",69907,"2017-07-25 00:00:00",NULL,NULL,NULL,1
30289155,Elton,Wyse,Sales,"Sales Operations",231906979,1217153229,8057668487,12104572130,"Individual Contributor",82943,"2020-03-05 00:00:00",NULL,NULL,NULL,1
31934668,Dredi,Zellmer,Operations,"Supply Chain",2173035137,8495424892,12104572130,NULL,"Team Lead",81815,"2019-10-08 00:00:00",NULL,NULL,NULL,1
32116881,Darrin,Tommaseo,R&D,Prototyping,4924352810,5325728346,9928084959,12104572130,"Individual Contributor",86393,"2017-11-04 00:00:00",NULL,NULL,NULL,1
32364108,Aguistin,Loghan,R&D,"Product Design",3878476132,6611224171,3314524903,12104572130,"Individual Contributor",71835,"2013-01-24 00:00:00",NULL,NULL,NULL,1
35687445,Lodovico,Corcut,Administration,"Executive Assistants",4837787854,1133455702,7922516714,12104572130,"Individual Contributor",66768,"2018-05-18 00:00:00",NULL,NULL,NULL,1
37230325,Deina,Muckloe,Finance,Auditing,3049965686,1672001344,8996729135,12104572130,"Individual Contributor",83095,"2015-08-10 00:00:00",NULL,NULL,NULL,1
40464738,Whit,Duval,Marketing,"Public Relations",784584731,1855812703,4092540016,12104572130,"Individual Contributor",88618,"2012-08-10 00:00:00",NULL,NULL,NULL,1
44493250,Arleta,Surr,R&D,Prototyping,3792599203,12104572130,NULL,NULL,Manager,101906,"2020-03-13 00:00:00",NULL,NULL,NULL,1
44644874,Shaun,Pregal,Finance,"Financial Planning",7409078933,3905225288,8996729135,12104572130,"Individual Contributor",85009,"2013-08-17 00:00:00",NULL,NULL,NULL,1
45467219,Randolf,Celle,"Customer Service","Customer Support",9657388599,12104572130,NULL,NULL,Manager,84020,"2014-12-19 00:00:00","2015-11-26 00:00:00",Voluntary,"More flexible benefits",0
55540612,Finn,Lashmore,HR,Benefits,1358690858,4348267022,2874824995,12104572130,"Individual Contributor",75469,"2013-03-07 00:00:00",NULL,NULL,NULL,1
56138933,Rodrick,Tremethack,Administration,"Executive Assistants",503182592,1133455702,1055389029,12104572130,"Individual Contributor",69889,"2021-03-14 00:00:00",NULL,NULL,NULL,1
62026776,Hakeem,Clemes,Marketing,"Marketing Research",4227611998,2448499492,9743222543,12104572130,"Individual Contributor",63546,"2021-04-07 00:00:00",NULL,NULL,NULL,1
62484857,Lazaro,Choake,Marketing,"Public Relations",285196675,1670871353,1949400041,12104572130,"Individual Contributor",64798,"2019-06-08 00:00:00",NULL,NULL,NULL,1
70389749,Ogdan,Alvarez,HR,Benefits,23580165,8855479112,302887809,12104572130,"Individual Contributor",66678,"2015-06-05 00:00:00",NULL,NULL,NULL,1
78186009,Keary,Bellin,Legal,"Corporate Law",4249218150,8808926609,6102968019,12104572130,"Individual Contributor",112014,"2014-11-24 00:00:00",NULL,NULL,NULL,1
80336177,Marijn,Klehn,Sales,"Business Development",8561534894,2533628457,8057668487,12104572130,"Individual Contributor",64901,"2017-12-16 00:00:00",NULL,NULL,NULL,1
81223024,Alisun,Simants,Sales,"Sales Operations",5701309242,12104572130,NULL,NULL,Manager,97290,"2014-07-11 00:00:00",NULL,NULL,NULL,1
82383276,Lucia,Plunkett,HR,Benefits,7064415887,1966624945,8377149542,12104572130,"Individual Contributor",62603,"2019-08-11 00:00:00",NULL,NULL,NULL,1
90363811,Raddy,Abdon,Finance,Auditing,12104572130,NULL,NULL,NULL,Director,102571,"2018-06-23 00:00:00","2020-06-04 00:00:00",Voluntary,"Found a better opportunity",0
91052068,Felice,Fripps,Operations,Logistics,8375539146,12104572130,NULL,NULL,Manager,69797,"2020-02-03 00:00:00",NULL,NULL,NULL,1
91664331,Brantley,Speck,Operations,"Supply Chain",6117579543,7406542888,9843016922,12104572130,"Individual Contributor",65475,"2012-10-27 00:00:00","2013-09-17 00:00:00",Voluntary,"Found a better opportunity",0
96741225,Wolfy,Scott,"Product Development","Product Management",4216091555,4889803209,765808111,12104572130,"Individual Contributor",82289,"2014-08-08 00:00:00",NULL,NULL,NULL,1
99936582,Brigitta,Cucinotta,Software,"Software Development",7288271093,9798129566,9368442131,12104572130,"Individual Contributor",89101,"2012-08-16 00:00:00",NULL,NULL,NULL,1
102701579,Elia,Broek,Operations,"Project Management",934452372,1740357466,12104572130,NULL,"Team Lead",95678,"2019-05-03 00:00:00",NULL,NULL,NULL,1
103727226,Gardy,Houlison,Legal,"Intellectual Property",3019821790,9988968226,6102968019,12104572130,"Individual Contributor",64227,"2013-08-26 00:00:00",NULL,NULL,NULL,1
104110475,Gaspard,Shellsheere,"Customer Service","Account Management",9705951632,8237113481,9657388599,12104572130,"Individual Contributor",69198,"2020-09-28 00:00:00","2021-10-01 00:00:00",Voluntary,"Found a better opportunity",0
104398693,Sydney,Cayser,Legal,"Intellectual Property",5747843646,3506070575,5222419382,12104572130,"Individual Contributor",88790,"2013-11-08 00:00:00",NULL,NULL,NULL,1
107304873,Cord,Joselovitch,Sales,"Business Development",3877282292,7246033069,8057668487,12104572130,"Individual Contributor",62734,"2019-01-10 00:00:00",NULL,NULL,NULL,1
107619581,Erek,Gounard,Sales,"Business Development",4618795010,2169536929,12104572130,NULL,"Team Lead",89383,"2019-07-06 00:00:00",NULL,NULL,NULL,1
110434768,Fern,Bodesson,Legal,"Intellectual Property",7498405488,8584020002,6102968019,12104572130,"Individual Contributor",89340,"2012-08-03 00:00:00",NULL,NULL,NULL,1
111958560,Wilhelmine,Comsty,Software,"Software Development",7269739934,615530838,5254944830,12104572130,"Individual Contributor",69043,"2013-05-12 00:00:00",NULL,NULL,NULL,1
113347083,Layton,Lumm,R&D,"Product Design",12104572130,NULL,NULL,NULL,Director,129133,"2020-07-23 00:00:00","2021-07-28 00:00:00",Voluntary,"More flexible benefits",0
114604934,Esma,Pannett,"Customer Service","Technical Support",6214299923,9657388599,12104572130,NULL,"Team Lead",59619,"2016-01-27 00:00:00",NULL,NULL,NULL,1
117092761,Trina,Syrett,R&D,Research,6437708561,9562660050,1424199297,12104572130,"Individual Contributor",86179,"2016-07-07 00:00:00",NULL,NULL,NULL,1
119470901,Norris,Klimek,Operations,"Supply Chain",4440178400,216953146,8375539146,12104572130,"Individual Contributor",71892,"2018-12-14 00:00:00","2019-10-07 00:00:00",Voluntary,"Found a better opportunity",0
121832607,Claiborn,Dorie,Operations,"Project Management",7626222393,3966372359,8375539146,12104572130,"Individual Contributor",80625,"2018-11-13 00:00:00","2020-09-27 00:00:00",Involuntary,"Company restructuring",0
129447183,Sax,Hibbart,Sales,"Business Development",3922225197,2305445429,2169536929,12104572130,"Individual Contributor",82827,"2020-02-01 00:00:00",NULL,NULL,NULL,1
130593032,Cordey,Davidowich,HR,Recruiting,8012519959,6054796568,3315940256,12104572130,"Individual Contributor",55962,"2018-01-14 00:00:00","2020-01-27 00:00:00",Voluntary,"Better salary",0
130811916,Con,Coatts,"Customer Service","Customer Support",2523044225,7799349465,9657388599,12104572130,"Individual Contributor",57275,"2015-05-24 00:00:00",NULL,NULL,NULL,1
132956038,Jacenta,"St. Louis",Legal,"Corporate Law",1703031136,1490361837,6102968019,12104572130,"Individual Contributor",82937,"2013-01-15 00:00:00",NULL,NULL,NULL,1
133287801,Phillip,Crumley,Sales,"Business Development",2241679125,8057668487,12104572130,NULL,"Team Lead",59064,"2016-01-21 00:00:00",NULL,NULL,NULL,1
135888623,Toiboid,Aizikovich,Finance,"Financial Planning",8412275732,4691268378,12104572130,NULL,"Team Lead",95969,"2019-12-03 00:00:00",NULL,NULL,NULL,1
138050097,Upton,Eccleston,Legal,"Intellectual Property",8466707201,3506070575,2591261030,12104572130,"Individual Contributor",83634,"2013-04-15 00:00:00","2014-04-12 00:00:00",Voluntary,"Better salary",0
